#ZVView-data-copy:  19-Jul-2023 15:47:15
#=======================================
#
#name:   INDEN-Oct2022: U-235(N,G)U-236
#X.axis: Incident Energy
#Y.axis: Cross Section
#wdata:  2
#ldata:  49105
#data...
#            X            Y
#          MeV        barns
    1.29433e-6      9.62949 
    1.30117e-6      9.14572 
      1.308e-6      8.71155 
     1.3149e-6      8.31779 
    1.31952e-6       8.0764 
    1.32877e-6      7.64087 
    1.33814e-6       7.2549 
    1.34751e-6      6.91606 
    1.35702e-6      6.61296 
    1.36652e-6      6.34431 
    1.37616e-6      6.10174 
    1.39069e-6      5.78347 
    1.40535e-6      5.50944 
    1.42022e-6      5.27064 
    1.43523e-6      5.06215 
    1.45039e-6       4.8791 
    1.46568e-6      4.71761 
    1.48636e-6      4.53001 
    1.50733e-6      4.36949 
    1.52859e-6      4.23186 
    1.55016e-6      4.11402 
    1.57203e-6      4.01373 
    1.59421e-6       3.9295 
     1.6167e-6       3.8605 
    1.63951e-6      3.80655 
    1.66264e-6      3.76822 
    1.69238e-6      3.74447 
    1.69866e-6      3.74344 
    1.72262e-6      3.75394 
    1.74085e-6      3.77939 
    1.75925e-6      3.82367 
    1.77782e-6      3.89178 
    1.79656e-6        3.991 
    1.80924e-6      4.08022 
    1.82191e-6      4.19208 
    1.83476e-6      4.33446 
     1.8444e-6      4.46508 
    1.85399e-6      4.62022 
    1.86356e-6      4.80575 
    1.87312e-6      5.02966 
    1.88095e-6      5.24833 
    1.88877e-6      5.50669 
    1.89399e-6      5.70556 
    1.90094e-6       6.0108 
    1.90558e-6       6.2444 
    1.91022e-6      6.50649 
    1.91515e-6      6.82139 
    1.92036e-6      7.20312 
    1.92427e-6      7.52782 
    1.92819e-6        7.891 
     1.9321e-6      8.29867 
    1.93598e-6      8.75396 
    1.93984e-6      9.26598 
    1.94371e-6      9.84608 
    1.94757e-6      10.5055 
    1.95015e-6      10.9955 
    1.95272e-6      11.5308 
    1.95622e-6      12.3376 
    1.95953e-6       13.198 
    1.96284e-6      14.1641 
    1.96614e-6      15.2481 
    1.96945e-6      16.4626 
    1.97166e-6      17.3506 
    1.97465e-6       18.662 
    1.97764e-6       20.103 
    1.98063e-6      21.6787 
    1.98362e-6      23.3917 
    1.98643e-6      25.1218 
    1.98923e-6      26.9674 
    1.99344e-6      29.9332 
    1.99876e-6      33.9472 
    2.00875e-6      41.7481 
    2.01223e-6      44.3118 
    2.01571e-6      46.6743 
    2.01919e-6      48.7563 
    2.02185e-6       50.116 
    2.02452e-6      51.2365 
    2.02719e-6      52.0921 
    2.02986e-6      52.6627 
    2.03266e-6      52.9405 
    2.03358e-6      52.9584 
    2.03636e-6      52.7917 
    2.03965e-6      52.1705 
    2.04295e-6      51.1122 
    2.04566e-6      49.9402 
    2.04838e-6      48.5255 
    2.05199e-6      46.3177 
    2.05561e-6      43.8202 
    2.06047e-6      40.1646 
    2.07106e-6      31.8951 
    2.07541e-6       28.687 
    2.07831e-6      26.6693 
    2.08121e-6      24.7651 
     2.0841e-6      22.9831 
      2.087e-6      21.3276 
     2.0899e-6      19.7995 
     2.0928e-6      18.3964 
    2.09562e-6      17.1446 
    2.09845e-6      16.0017 
    2.10128e-6       14.961 
     2.1041e-6      14.0152 
    2.10693e-6      13.1568 
    2.10917e-6      12.5318 
    2.11178e-6      11.8645 
    2.11439e-6      11.2546 
      2.117e-6       10.697 
    2.11961e-6      10.1868 
    2.12221e-6      9.71945 
    2.12613e-6       9.0899 
    2.12989e-6      8.55457 
    2.13337e-6       8.1138 
    2.13685e-6      7.71762 
    2.14033e-6      7.36045 
    2.14497e-6      6.93671 
    2.14989e-6      6.54252 
    2.15511e-6       6.1779 
    2.16033e-6      5.85873 
    2.16554e-6      5.57777 
    2.17059e-6      5.33653 
    2.17548e-6      5.12788 
    2.18281e-6      4.85335 
    2.19018e-6      4.61604 
    2.19763e-6      4.40847 
    2.20508e-6       4.2277 
    2.21146e-6      4.09086 
    2.21924e-6      3.94263 
    2.22703e-6        3.812 
    2.23871e-6      3.64327 
    2.25055e-6      3.49917 
     2.2624e-6      3.37679 
    2.27029e-6      3.30518 
    2.28631e-6      3.17995 
    2.30232e-6      3.07648 
    2.32384e-6      2.96381 
    2.34548e-6      2.87384 
     2.3672e-6      2.80177 
    2.38891e-6      2.74415 
    2.41419e-6      2.69191 
     2.4397e-6      2.65278 
    2.47412e-6      2.61896 
    2.50387e-6      2.60638 
     2.5163e-6      2.60585 
    2.54292e-6       2.6151 
     2.5698e-6      2.64149 
     2.5878e-6      2.67144 
    2.60605e-6      2.71504 
    2.62431e-6      2.77619 
    2.63819e-6      2.83815 
    2.65208e-6      2.91727 
    2.66602e-6       3.0181 
     2.6801e-6       3.1454 
    2.69418e-6      3.29999 
    2.71326e-6      3.54484 
    2.73162e-6      3.78649 
    2.74356e-6      3.91957 
    2.75364e-6      4.00213 
    2.76082e-6      4.03983 
    2.77037e-6      4.06047 
    2.77155e-6      4.06069 
    2.77749e-6      4.05448 
    2.78699e-6       4.0218 
    2.79753e-6      3.96094 
    2.82697e-6      3.75299 
    2.83831e-6      3.69059 
    2.84838e-6      3.65207 
    2.85845e-6      3.63112 
    2.86516e-6      3.62714 
    2.87551e-6      3.63651 
    2.88585e-6      3.66434 
    2.89653e-6      3.71208 
    2.90787e-6      3.78399 
    2.91921e-6      3.87836 
    2.93025e-6      3.99313 
    2.94113e-6      4.13054 
    2.95201e-6      4.29492 
    2.96287e-6      4.48962 
    2.97373e-6      4.72008 
    2.98097e-6      4.89669 
     2.9882e-6      5.09433 
    2.99544e-6      5.31569 
    3.00268e-6      5.56386 
    3.00992e-6       5.8424 
    3.01715e-6      6.15535 
    3.02439e-6      6.50724 
    3.03163e-6      6.90307 
    3.03887e-6      7.34819 
    3.04466e-6      7.74347 
    3.05045e-6      8.17656 
    3.05624e-6         8.65 
    3.06203e-6      9.16582 
    3.06886e-6      9.83041 
    3.07569e-6      10.5559 
    3.08375e-6      11.4872 
     3.0943e-6       12.805 
    3.11414e-6      15.3961 
    3.12283e-6      16.4454 
    3.12862e-6      17.0679 
    3.13433e-6      17.5988 
    3.13978e-6      18.0104 
    3.14524e-6       18.317 
    3.15069e-6      18.5075 
    3.15623e-6      18.5755 
    3.16184e-6      18.5138 
    3.16746e-6      18.3235 
    3.17307e-6      18.0124 
    3.17869e-6      17.5927 
    3.18447e-6      17.0634 
    3.19025e-6      16.4545 
    3.19796e-6      15.5546 
    3.21945e-6      12.8774 
    3.22937e-6      11.7141 
    3.23598e-6      10.9984 
    3.24222e-6      10.3743 
    3.24846e-6      9.80242 
     3.2547e-6      9.28306 
    3.26093e-6      8.81505 
    3.26755e-6      8.37242 
    3.27416e-6      7.98149 
    3.28078e-6      7.63838 
    3.28739e-6      7.33917 
    3.29344e-6      7.10074 
    3.29949e-6      6.89309 
    3.30856e-6      6.63399 
    3.31768e-6       6.4303 
    3.32683e-6      6.27725 
    3.33598e-6      6.17068 
    3.34495e-6       6.1079 
    3.35392e-6      6.08403 
    3.36261e-6      6.09679 
    3.37131e-6      6.14455 
    3.38019e-6      6.22996 
    3.38944e-6      6.35989 
     3.3987e-6      6.53438 
    3.40795e-6      6.75759 
     3.4172e-6      7.03524 
    3.42337e-6      7.25426 
    3.42948e-6      7.50131 
    3.43554e-6       7.7788 
     3.4416e-6       8.0926 
    3.44766e-6       8.4472 
    3.45371e-6      8.84752 
    3.45976e-6      9.29971 
    3.46581e-6      9.81151 
    3.47186e-6      10.3917 
    3.47791e-6      11.0506 
    3.48244e-6      11.6036 
    3.48698e-6      12.2135 
    3.49151e-6      12.8869 
    3.49605e-6       13.631 
    3.50134e-6      14.5993 
    3.50588e-6      15.5249 
    3.51042e-6      16.5489 
    3.51495e-6       17.681 
    3.51949e-6       18.931 
    3.52402e-6      20.3087 
    3.52856e-6      21.8231 
     3.5331e-6      23.4817 
    3.53763e-6      25.2898 
    3.54217e-6      27.2497 
     3.5467e-6      29.3595 
    3.55124e-6       31.612 
    3.55773e-6      35.0532 
    3.56616e-6      39.8128 
    3.57886e-6       47.085 
    3.58452e-6      50.1146 
    3.59017e-6      52.8556 
    3.59438e-6      54.6374 
     3.5985e-6      56.1267 
    3.60263e-6      57.3197 
    3.60585e-6      58.0227 
    3.61031e-6      58.6493 
    3.61463e-6      58.8508 
    3.61879e-6      58.6624 
    3.62235e-6      58.2082 
    3.62645e-6      57.3601 
    3.63095e-6      56.0545 
    3.63512e-6      54.5339 
    3.64067e-6      52.1056 
    3.64622e-6      49.3144 
    3.65397e-6      45.0138 
    3.66941e-6      36.0862 
    3.67602e-6      32.4563 
    3.68043e-6      30.1724 
    3.68484e-6      28.0164 
    3.68928e-6      25.9854 
    3.69375e-6      24.0867 
    3.69822e-6      22.3344 
    3.70268e-6      20.7254 
    3.70709e-6       19.272 
    3.71145e-6      17.9618 
     3.7158e-6      16.7669 
    3.72015e-6      15.6788 
    3.72453e-6      14.6823 
    3.72894e-6      13.7706 
    3.73335e-6      12.9421 
    3.73776e-6      12.1887 
    3.74283e-6      11.4055 
    3.74713e-6      10.8038 
    3.75143e-6      10.2533 
    3.75717e-6      9.59014 
     3.7629e-6      8.99823 
    3.76952e-6      8.39175 
    3.77613e-6      7.85578 
    3.78275e-6      7.38021 
    3.78936e-6      6.95657 
    3.79598e-6      6.57775 
    3.80259e-6       6.2378 
    3.80921e-6      5.93167 
    3.81582e-6      5.65511 
    3.82464e-6      5.32615 
    3.83346e-6      5.03621 
    3.84228e-6      4.77945 
     3.8511e-6      4.55107 
    3.85992e-6      4.34712 
    3.86874e-6      4.16431 
    3.88032e-6       3.9519 
     3.8919e-6      3.76607 
    3.90347e-6      3.60271 
    3.91505e-6      3.45846 
    3.92886e-6      3.30759 
    3.94267e-6      3.17627 
    3.95647e-6      3.06151 
    3.97028e-6      2.96088 
    3.99129e-6       2.8306 
    4.01229e-6      2.72308 
     4.0334e-6      2.63383 
     4.0547e-6      2.55962 
      4.076e-6      2.49891 
     4.0975e-6      2.44939 
     4.1263e-6      2.39904 
    4.15531e-6      2.36454 
    4.18452e-6      2.34439 
    4.21099e-6      2.33783 
    4.24069e-6      2.34334 
     4.2704e-6      2.36256 
    4.30052e-6      2.39673 
    4.33065e-6      2.44712 
    4.35356e-6      2.49769 
    4.37647e-6      2.56047 
    4.39949e-6      2.63784 
    4.42272e-6      2.73312 
    4.44596e-6      2.84916 
    4.46156e-6      2.94103 
    4.47727e-6      3.04697 
    4.49297e-6      3.16872 
    4.50868e-6      3.30916 
    4.52313e-6      3.45798 
    4.53631e-6      3.61337 
     4.5495e-6      3.79098 
    4.56268e-6      3.99514 
    4.57259e-6      4.16923 
    4.58254e-6        4.365 
    4.59248e-6      4.58527 
    4.60243e-6       4.8343 
    4.61238e-6      5.11737 
    4.62232e-6      5.44103 
    4.62895e-6      5.68337 
    4.63558e-6      5.95039 
    4.64222e-6      6.24564 
    4.64885e-6      6.57339 
    4.65548e-6      6.93873 
    4.66211e-6      7.34787 
    4.66874e-6      7.80841 
    4.67371e-6       8.1931 
    4.67849e-6      8.59898 
    4.68316e-6      9.03599 
    4.68784e-6      9.51779 
    4.69251e-6       10.051 
    4.69719e-6      10.6436 
    4.70163e-6      11.2704 
    4.70561e-6      11.8924 
    4.70959e-6      12.5804 
    4.71356e-6       13.344 
    4.71754e-6      14.1948 
    4.72152e-6      15.1459 
     4.7255e-6      16.2131 
    4.72948e-6      17.4143 
    4.73213e-6      18.2998 
    4.73478e-6       19.261 
    4.73744e-6      20.3055 
    4.74009e-6      21.4415 
    4.74274e-6      22.6777 
    4.74539e-6      24.0236 
    4.74805e-6      25.4892 
     4.7507e-6      27.0852 
    4.75335e-6      28.8224 
      4.756e-6      30.7124 
    4.75865e-6      32.7668 
    4.76131e-6      34.9972 
    4.76396e-6       37.415 
    4.76635e-6      39.7606 
    4.76873e-6      42.2746 
    4.77112e-6       44.964 
     4.7747e-6      49.3402 
    4.77828e-6      54.1404 
    4.78186e-6      59.3731 
    4.78571e-6      65.4744 
    4.78969e-6      72.2944 
    4.79367e-6      79.5957 
    4.79897e-6      89.9769 
     4.8056e-6      103.695 
    4.81489e-6      123.244 
    4.82019e-6      133.909 
    4.82417e-6      141.342 
    4.82868e-6      148.926 
    4.83186e-6      153.609 
    4.83504e-6      157.644 
    4.83924e-6      161.848 
    4.84226e-6      164.029 
    4.84529e-6      165.452 
    4.84862e-6      166.112 
    4.84935e-6      166.128 
    4.85279e-6      165.583 
    4.85583e-6      164.259 
    4.85945e-6      161.687 
    4.86263e-6      158.574 
    4.86581e-6      154.728 
    4.86899e-6      150.217 
    4.87297e-6      143.768 
    4.87775e-6      135.064 
    4.88279e-6      125.063 
    4.89791e-6      93.5288 
    4.90294e-6      83.5055 
    4.90692e-6      76.0167 
     4.9109e-6      68.9779 
    4.91408e-6       63.702 
    4.91727e-6      58.7576 
    4.92045e-6       54.151 
    4.92363e-6      49.8822 
    4.92721e-6      45.4764 
     4.9296e-6      42.7657 
    4.93199e-6      40.2296 
    4.93438e-6      37.8615 
    4.93676e-6       35.654 
    4.93915e-6      33.5993 
    4.94154e-6      31.6894 
    4.94392e-6       29.916 
    4.94631e-6      28.2708 
     4.9487e-6      26.7455 
    4.95108e-6      25.3322 
    4.95347e-6      24.0229 
    4.95705e-6      22.2376 
    4.96063e-6      20.6456 
    4.96421e-6      19.2249 
     4.9678e-6      17.9553 
    4.97138e-6       16.819 
    4.97496e-6      15.7997 
    4.97854e-6      14.8835 
    4.98217e-6       14.047 
    4.98589e-6      13.2728 
    4.98962e-6      12.5741 
    4.99335e-6      11.9414 
    4.99583e-6      11.5525 
     5.0008e-6      10.8439 
    5.00568e-6      10.2273 
    5.01056e-6      9.67713 
    5.01543e-6      9.18423 
    5.02031e-6      8.74084 
    5.02519e-6       8.3405 
    5.02979e-6      7.99677 
    5.03576e-6      7.59545 
    5.04173e-6      7.23702 
     5.0477e-6      6.91567 
    5.05367e-6      6.62657 
    5.06262e-6      6.24476 
    5.07157e-6      5.91551 
    5.07986e-6      5.64994 
    5.08782e-6      5.42526 
    5.09577e-6      5.22614 
    5.10638e-6      4.99479 
    5.11699e-6      4.79668 
     5.1276e-6      4.62671 
    5.13821e-6      4.48077 
    5.14882e-6      4.35552 
    5.16398e-6       4.2071 
    5.17763e-6      4.09952 
    5.19128e-6      4.01273 
    5.20492e-6      3.94375 
    5.22312e-6      3.87528 
     5.2436e-6      3.82504 
    5.26635e-6      3.79624 
    5.28704e-6      3.78972 
    5.31496e-6      3.80321 
    5.35219e-6      3.84671 
    5.41606e-6      3.93792 
    5.45116e-6      3.97341 
    5.49694e-6      3.99021 
    5.54495e-6      3.97599 
    5.59187e-6      3.95064 
    5.62963e-6      3.94083 
    5.65284e-6      3.94635 
    5.68557e-6      3.97609 
    5.70963e-6      4.01845 
    5.73271e-6      4.07861 
     5.7558e-6       4.1607 
    5.78108e-6      4.27946 
    5.79867e-6      4.38228 
    5.81626e-6      4.50385 
    5.83385e-6      4.64644 
    5.84924e-6      4.79057 
    5.86463e-6      4.95506 
    5.88002e-6      5.14248 
    5.89541e-6      5.35594 
     5.9125e-6      5.62801 
    5.92531e-6      5.85987 
    5.93813e-6      6.11905 
    5.95094e-6      6.40931 
    5.96376e-6      6.73508 
    5.97568e-6      7.07446 
     5.9876e-6      7.45403 
    5.99951e-6      7.87953 
    6.01143e-6      8.35765 
    6.02335e-6      8.89606 
    6.03282e-6      9.37253 
    6.04381e-6      9.98657 
    6.05481e-6      10.6737 
     6.0658e-6      11.4421 
    6.07621e-6      12.2524 
    6.08605e-6      13.0973 
    6.09589e-6      14.0239 
    6.10572e-6      15.0355 
    6.11624e-6      16.2126 
    6.12743e-6      17.5743 
    6.13862e-6      19.0458 
    6.14981e-6      20.6246 
    6.16307e-6      22.6342 
    6.17425e-6       24.458 
    6.18342e-6      26.0638 
    6.19318e-6      27.9133 
    6.20323e-6      30.0307 
    6.20993e-6      31.6079 
    6.21557e-6      33.0718 
    6.22245e-6      35.0698 
    6.22703e-6      36.5639 
    6.23162e-6      38.2161 
    6.23606e-6       39.996 
     6.2405e-6       41.983 
    6.24494e-6      44.2134 
    6.24938e-6      46.7287 
    6.25378e-6      49.5464 
    6.25818e-6      52.7431 
    6.26148e-6      55.4251 
    6.26477e-6      58.3814 
    6.26807e-6      61.6419 
    6.27137e-6      65.2387 
    6.27467e-6      69.2056 
    6.27796e-6      73.5783 
    6.28126e-6      78.3936 
    6.28456e-6      83.6891 
    6.28786e-6      89.5025 
    6.29116e-6      95.8708 
    6.29445e-6      102.829 
    6.29775e-6      110.411 
    6.30105e-6      118.644 
    6.30407e-6      126.786 
    6.30793e-6      137.992 
    6.31177e-6       150.15 
    6.31563e-6      163.253 
     6.3203e-6      180.375 
    6.32441e-6      196.511 
    6.32988e-6      219.235 
    6.33797e-6      254.838 
    6.34963e-6       307.08 
    6.35479e-6       329.03 
    6.35995e-6      349.361 
    6.36424e-6      364.594 
    6.36854e-6      377.886 
    6.37271e-6      388.624 
    6.37663e-6      396.537 
    6.38055e-6      402.157 
    6.38391e-6      405.048 
    6.38745e-6       406.13 
    6.39144e-6      404.898 
    6.39489e-6      401.767 
     6.3989e-6      395.775 
    6.40234e-6       388.74 
    6.40578e-6       380.07 
    6.41093e-6      364.312 
    6.41523e-6      349.013 
    6.41953e-6      332.126 
    6.42525e-6      307.787 
    6.44287e-6      228.561 
    6.44846e-6      204.512 
    6.45275e-6      186.941 
    6.45721e-6       169.74 
    6.46199e-6      152.587 
    6.46518e-6      141.937 
    6.46837e-6      131.929 
