#ZVView-data-copy:  19-Jul-2023 16:26:13
#=======================================
#
#name:   ENDF/B-VIII.0: U-238(N,EL)U-238-L0
#X.axis: Incident Energy
#Y.axis: Cross Section
#wdata:  2
#ldata:  53542
#data...
#            X            Y
#          MeV        barns
    6.78168e-6      76.6769 
    6.78471e-6      72.2513 
    6.78773e-6       68.269 
    6.79076e-6      64.6855 
    6.79378e-6      61.4597 
    6.79711e-6      58.2788 
    6.80074e-6      55.1952 
    6.80437e-6      52.4627 
      6.808e-6      50.0337 
    6.81163e-6      47.8668 
    6.81526e-6      45.9258 
    6.82071e-6      43.3714 
    6.82434e-6      41.8693 
    6.82979e-6      39.8649 
    6.83523e-6      38.1088 
    6.84068e-6       36.556 
    6.84612e-6      35.1713 
    6.85429e-6      33.3505 
    6.86246e-6      31.7769 
    6.87169e-6      30.2344 
    6.87925e-6      29.1207 
     6.8906e-6      27.6558 
    6.90194e-6      26.3909 
    6.91329e-6      25.2867 
    6.92463e-6      24.3141 
    6.93598e-6      23.4507 
    6.95111e-6      22.4394 
    6.96623e-6      21.5594 
    6.98136e-6      20.7867 
    7.00405e-6      19.7894 
    7.02674e-6      18.9463 
    7.04943e-6      18.2241 
    7.07429e-6      17.5431 
    7.09916e-6      16.9544 
    7.13645e-6      16.2072 
     7.1741e-6       15.581 
    7.21192e-6       15.051 
    7.24974e-6      14.5985 
    7.30088e-6      14.0823 
    7.35203e-6      13.6511 
    7.41728e-6      13.1939 
    7.48516e-6      12.8018 
    7.57629e-6      12.3734 
    7.68384e-6      11.9717 
    7.80579e-6      11.6113 
    7.93404e-6      11.3086 
    8.10273e-6      10.9927 
     8.2746e-6      10.7376 
    8.50973e-6      10.4619 
    8.81327e-6      10.1879 
    9.19158e-6      9.92644 
    9.72136e-6      9.64715 
    1.04645e-5       9.3461 
     1.1685e-5      8.95011 
    1.37672e-5      8.31538 
    1.47662e-5      7.96289 
    1.55079e-5      7.65452 
     1.6061e-5      7.38505 
    1.65174e-5      7.12718 
    1.69868e-5      6.81702 
    1.73471e-5      6.53711 
    1.75918e-5      6.32042 
      1.784e-5      6.07335 
    1.80917e-5      5.78852 
    1.82831e-5      5.54345 
    1.84296e-5      5.33592 
    1.86249e-5      5.02759 
    1.87936e-5      4.72622 
    1.89061e-5      4.50412 
    1.90158e-5      4.26881 
    1.91227e-5      4.01942 
    1.92324e-5      3.74021 
    1.93348e-5      3.45569 
    1.94259e-5      3.18086 
    1.95188e-5      2.87765 
    1.95935e-5       2.6158 
    1.96712e-5      2.32582 
    1.97471e-5      2.02437 
    1.98146e-5      1.74228 
    1.98849e-5      1.43631 
    2.00209e-5     0.829393 
    2.00585e-5      0.66658 
     2.0084e-5     0.560664 
    2.01029e-5     0.485213 
     2.0118e-5     0.427404 
    2.01331e-5     0.372352 
    2.01454e-5     0.329933 
    2.01577e-5      0.29001 
    2.01659e-5     0.264957 
    2.01752e-5     0.238435 
    2.01813e-5     0.221818 
    2.01875e-5     0.206119 
    2.01931e-5     0.192587 
    2.01983e-5     0.181042 
    2.02034e-5     0.170259 
    2.02085e-5      0.16028 
    2.02147e-5     0.149427 
    2.02201e-5     0.140994 
    2.02254e-5     0.133615 
    2.02301e-5     0.128173 
    2.02347e-5     0.123589 
     2.0239e-5     0.120084 
    2.02429e-5     0.117688 
    2.02467e-5     0.115971 
    2.02498e-5     0.115105 
    2.02539e-5      0.11468 
    2.02567e-5     0.114888 
    2.02598e-5     0.115596 
    2.02639e-5     0.117348 
    2.02678e-5     0.119863 
    2.02716e-5     0.123256 
    2.02751e-5      0.12709 
    2.02783e-5     0.131324 
    2.02816e-5      0.13645 
    2.02855e-5     0.143313 
    2.02889e-5     0.150391 
    2.02926e-5     0.158982 
    2.02967e-5     0.169697 
    2.02998e-5     0.178618 
    2.03032e-5     0.189169 
    2.03068e-5     0.201601 
    2.03109e-5      0.21722 
    2.03143e-5     0.231617 
    2.03178e-5     0.247171 
    2.03216e-5     0.265868 
    2.03255e-5     0.286111 
    2.03296e-5     0.309483 
    2.03342e-5     0.338073 
    2.03388e-5     0.369215 
    2.03439e-5     0.406969 
    2.03475e-5      0.43547 
    2.03511e-5     0.465757 
    2.03547e-5     0.497902 
    2.03588e-5     0.537014 
    2.03629e-5     0.578769 
     2.0367e-5     0.623293 
    2.03711e-5     0.670717 
    2.03763e-5      0.73429 
    2.03814e-5     0.802897 
    2.03865e-5     0.876849 
    2.03916e-5      0.95647 
    2.03968e-5      1.04212 
    2.04019e-5      1.13416 
     2.0407e-5      1.23301 
    2.04122e-5       1.3391 
    2.04168e-5      1.44117 
    2.04214e-5      1.54983 
    2.04276e-5      1.70568 
    2.04337e-5      1.87498 
    2.04386e-5      2.01927 
     2.0444e-5      2.19007 
    2.04494e-5      2.37361 
    2.04547e-5      2.57083 
    2.04601e-5      2.78276 
    2.04655e-5      3.01052 
    2.04709e-5      3.25538 
    2.04763e-5      3.51867 
    2.04817e-5      3.80191 
    2.04871e-5      4.10672 
    2.04924e-5      4.43496 
    2.04983e-5      4.82372 
    2.05045e-5      5.26518 
    2.05106e-5      5.74696 
    2.05168e-5       6.2735 
     2.0523e-5       6.8498 
    2.05291e-5      7.48174 
    2.05353e-5      8.17608 
    2.05414e-5       8.9408 
    2.05455e-5      9.49426 
    2.05496e-5      10.0863 
    2.05537e-5      10.7206 
    2.05578e-5      11.4011 
    2.05619e-5      12.1325 
     2.0566e-5      12.9198 
    2.05702e-5      13.7691 
    2.05743e-5       14.687 
    2.05784e-5      15.6812 
    2.05825e-5      16.7605 
    2.05866e-5      17.9347 
    2.05907e-5      19.2153 
    2.05948e-5      20.6155 
    2.05989e-5      22.1501 
     2.0603e-5      23.8363 
    2.06071e-5      25.6937 
    2.06112e-5      27.7447 
    2.06143e-5      29.4252 
    2.06173e-5      31.2409 
    2.06204e-5      33.2053 
    2.06235e-5      35.3328 
    2.06266e-5      37.6396 
    2.06297e-5      40.1434 
    2.06327e-5      42.8637 
    2.06358e-5      45.8214 
    2.06389e-5      49.0399 
     2.0642e-5      52.5442 
     2.0645e-5      56.3623 
    2.06481e-5      60.5234 
    2.06512e-5      65.0603 
    2.06543e-5      70.0077 
    2.06574e-5      75.4035 
    2.06602e-5      80.8799 
     2.0663e-5      86.5972 
    2.06658e-5      92.7767 
    2.06685e-5      99.4549 
    2.06713e-5      106.669 
    2.06741e-5      114.459 
    2.06768e-5      122.867 
    2.06796e-5      131.938 
    2.06824e-5      141.716 
    2.06852e-5      152.251 
    2.06879e-5      163.592 
    2.06912e-5      178.151 
    2.06945e-5      194.004 
    2.06978e-5      211.246 
    2.07011e-5       229.97 
    2.07043e-5      250.276 
    2.07076e-5      272.261 
    2.07109e-5      296.025 
    2.07142e-5      321.666 
    2.07171e-5      345.723 
    2.07199e-5      371.357 
    2.07228e-5      398.633 
    2.07257e-5      427.611 
    2.07286e-5      458.351 
    2.07329e-5      507.881 
    2.07372e-5      561.657 
    2.07415e-5      619.826 
    2.07458e-5      682.486 
    2.07501e-5       749.71 
    2.07544e-5      821.518 
    2.07587e-5      897.888 
    2.07624e-5      966.919 
    2.07669e-5      1055.64 
    2.07737e-5      1197.18 
    2.07803e-5      1343.19 
    2.07885e-5      1535.66 
    2.08032e-5      1898.73 
     2.0816e-5      2210.54 
    2.08258e-5      2437.48 
    2.08324e-5      2576.14 
    2.08389e-5      2701.22 
    2.08455e-5      2809.94 
    2.08521e-5      2899.81 
    2.08586e-5      2968.75 
    2.08642e-5      3009.69 
    2.08708e-5      3036.11 
    2.08754e-5      3040.31 
    2.08811e-5         3029 
    2.08869e-5      2999.56 
    2.08934e-5      2944.57 
       2.09e-5      2868.21 
    2.09066e-5      2772.46 
    2.09131e-5      2659.67 
    2.09197e-5      2532.51 
    2.09295e-5      2321.14 
